Ticker,Company Name,Theme,Sub Theme,Setup,Market Cap,1W Price Change %,1M Price Change %,3M Price Change %,Pct vs 30W EMA,Weekly PPO Hist,Weekly Hist Improving,Daily PPO,Daily PPO Hist,Daily PPO Turning Up,RS 1M Change %,Vol Ratio 20/60,Down Day Capture
HPQ,Hp Inc,Hardware,"Hardware - Consumer Electronics, PCs & Peripherals",WATCHLIST,29055.7071,0.0695,0.1325,0.2687,29.35,3.164,True,4.088,0.288,True,13.42,1.1,-0.54
DG,Dollar General Corp,E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",WATCHLIST,28931.6844,0.084,0.0468,0.274,9.71,1.388,True,1.895,0.758,True,4.83,1.02,-0.99
ZM,"Zoom Communications, Inc.",Telecommunications,Telecom - Enterprise & Unified Communications,WATCHLIST,28390.5556,0.0295,-0.0077,-0.0459,7.89,0.673,False,-0.01,-0.916,True,-0.63,1.04,1.78
ATI,Ati Inc,Defense & Aerospace,Defense - Secure Defense Supply Chains,WATCHLIST,27539.0996,-0.0005,0.0525,0.1707,18.88,-0.61,False,0.118,-1.013,True,5.4,1.09,1.57
WSM,"Williams-Sonoma, Inc.",E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",WATCHLIST,26044.5102,-0.0326,-0.0862,0.1017,5.68,0.318,False,-1.11,-0.984,True,-8.49,1.02,1.96
SYF,Synchrony Financial,Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",WATCHLIST,25886.5029,0.024,0.015,0.168,6.42,0.949,False,0.755,-0.263,True,1.65,0.93,1.95
AFRM,"Affirm Holdings, Inc.",FinTech & Digital Finance,FinTech - Digital Payments & Merchant Infrastructure,WATCHLIST,25121.0117,-0.0696,-0.0739,0.0917,2.1,0.236,False,-0.812,-0.579,False,-7.25,1.21,5.65
NVT,Nvent Electric Plc,Hardware,Hardware - Data Center Infrastructure & Servers,WATCHLIST,24837.0995,0.0508,-0.0383,-0.1143,6.54,-2.112,True,-1.493,-0.349,True,-3.69,1.04,1.85
ROIV,Roivant Sciences Ltd.,Healthcare & Biotech,Healthcare - Next-Gen Biotech Platforms,WATCHLIST,24696.2217,0.0063,0.0098,0.2171,13.1,-0.947,False,-0.19,-0.89,True,1.13,1.23,1.23
DRI,"Darden Restaurants, Inc.",Consumer Goods & Retail,Consumer - Restaurants & Dining,WATCHLIST,24676.0305,0.0058,0.0602,0.1027,5.79,0.668,False,0.877,-0.447,True,6.17,0.76,0.32
DLTR,"Dollar Tree, Inc.",E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",WATCHLIST,24536.4163,0.0246,0.0054,0.1682,10.77,1.29,False,0.943,-0.247,True,0.69,0.85,-1.62
